http://www3.nhk.or.jp/news/easy/k10014967811000/k10014967811000.html,[10/1/2014] カップヌードル 来年１月から値段が上がる
http://www3.nhk.or.jp/news/easy/k10014976001000/k10014976001000.html,[10/1/2014] 「抱っこひも」の事故をなくすために実験をする
http://www3.nhk.or.jp/news/easy/k10015014241000/k10015014241000.html,[10/1/2014] コーヒーなどの値段が１日から上がる
http://www3.nhk.or.jp/news/easy/k10015015401000/k10015015401000.html,[10/1/2014] イギリスが初めて「イスラム国」を空爆
http://www3.nhk.or.jp/news/easy/k10015015851000/k10015015851000.html,[10/1/2014] 東海道新幹線 運転が始まってから５０年
http://www3.nhk.or.jp/news/easy/k10015016101000/k10015016101000.html,[10/2/2014] モーツァルトが自分で書いた楽譜が見つかる
http://www3.nhk.or.jp/news/easy/k10014988101000/k10014988101000.html,[10/2/2014] 「はやぶさ２」を１１月に打ち上げることが決まる
http://www3.nhk.or.jp/news/easy/k10015049931000/k10015049931000.html,[10/2/2014] 世界の大学ランキング 東京大学がアジアで１番
http://www3.nhk.or.jp/news/easy/k10015030821000/k10015030821000.html,[10/2/2014] 外国からの観光客のための免税の商品が増える
http://www3.nhk.or.jp/news/easy/k10015036461000/k10015036461000.html,[10/2/2014] 御嶽山の噴火で亡くなった人が４７人になる
http://www3.nhk.or.jp/news/easy/k10015039371000/k10015039371000.html,[10/3/2014] 赤ちゃんに毎日クリームを塗るとアトピーになりにくい
http://www3.nhk.or.jp/news/easy/k10015021351000/k10015021351000.html,[10/3/2014] 元気に生活できる健康寿命 男性７１歳、女性７４歳
http://www3.nhk.or.jp/news/easy/k10015081921000/k10015081921000.html,[10/3/2014] パリでモーターショー 人気がある小型の車で競争
http://www3.nhk.or.jp/news/easy/k10015094791000/k10015094791000.html,[10/3/2014] 台風が近くに来たときに気をつけること
http://www3.nhk.or.jp/news/easy/k10015081341000/k10015081341000.html,[10/6/2014] お年寄りが使いやすい電化製品をたくさん作る
http://www3.nhk.or.jp/news/easy/k10015081291000/k10015081291000.html,[10/6/2014] ＮＴＴ 外国人にスマートフォンで観光情報を知らせる
http://www3.nhk.or.jp/news/easy/k10015126371000/k10015126371000.html,[10/6/2014] ドイツの新聞が村上春樹さんに賞を贈る
http://www3.nhk.or.jp/news/easy/k10015129821000/k10015129821000.html,[10/6/2014] 日本の薬を使ったエボラ出血熱のフランス人が退院する
http://www3.nhk.or.jp/news/easy/k10015129981000/k10015129981000.html,[10/6/2014] 世界で初めて 子宮を移植した女性が赤ちゃんをうむ
http://www3.nhk.or.jp/news/easy/k10015111171000/k10015111171000.html,[10/7/2014] インドネシアで日本の食べ物「たこ焼き」が人気
http://www3.nhk.or.jp/news/easy/k10015121481000/k10015121481000.html,[10/7/2014] アメリカ アラスカ州の海岸に３万５０００匹のセイウチ
http://www3.nhk.or.jp/news/easy/k10015175911000/k10015175911000.html,[10/7/2014] 東京オリンピックから５０年のイベントが始まる
http://www3.nhk.or.jp/news/easy/k10015165381000/k10015165381000.html,[10/7/2014] ＩＴの新しい技術などを紹介するイベント
http://www3.nhk.or.jp/news/easy/k10015182691000/k10015182691000.html,[10/7/2014] アフリカ以外でエボラ出血熱にうつったことがわかる
http://www3.nhk.or.jp/news/easy/k10015168101000/k10015168101000.html,[10/8/2014] 外国の車 ことしの９月は去年より多く売れる
http://www3.nhk.or.jp/news/easy/k10015163621000/k10015163621000.html,[10/8/2014] コンビニの弁当などに健康な食事を知らせるマーク
http://www3.nhk.or.jp/news/easy/k10015194611000/k10015194611000.html,[10/8/2014] 新しい気象衛星「ひまわり８号」を打ち上げる
http://www3.nhk.or.jp/news/easy/k10015209831000/k10015209831000.html,[10/8/2014] ノーベル賞に決まった３人がうれしい気持ちを話す
http://www3.nhk.or.jp/news/easy/k10015208401000/k10015208401000.html,[10/8/2014] 青いＬＥＤを作った３人にノーベル賞
http://www3.nhk.or.jp/news/easy/k10015190171000/k10015190171000.html,[10/9/2014] 長崎市の秋のお祭り「長崎くんち」
http://www3.nhk.or.jp/news/easy/k10015197241000/k10015197241000.html,[10/9/2014] 日本マクドナルド ことしは赤字になりそうだと発表
http://www3.nhk.or.jp/news/easy/k10015252561000/k10015252561000.html,[10/9/2014] アメリカ エボラ出血熱で初めて男性１人が亡くなる
http://www3.nhk.or.jp/news/easy/k10015249011000/k10015249011000.html,[10/9/2014] 月が地球の影になる「皆既月食」を大勢の人が楽しんだ
http://www3.nhk.or.jp/news/easy/k10015259411000/k10015259411000.html,[10/10/2014] 岐阜県の「秋の高山祭」が始まる
http://www3.nhk.or.jp/news/easy/k10015240521000/k10015240521000.html,[10/10/2014] 小笠原諸島の海 さんごの密漁を厳しくチェックして
http://www3.nhk.or.jp/news/easy/k10015270521000/k10015270521000.html,[10/10/2014] 中国 北京市などでひどい大気汚染が続く
