11,k10010984091000,2017-05-18,インドネシア　珍しい白いオランウータンが見つかる,インドネシアのカリマンタン島で、体の毛や皮膚が白いオランウータンが見つかりました。島の人がこのオランウータンを捕まえていましたが、動物を守る仕事をしている団体が世話をすることになりました。このオランウータンは５歳ぐらいの雌です。生まれたときから白かったようで、団体はとても珍しいと言っています。団体は、このオランウータンの名前をみんなに考えてもらうことにしました。３４００以上集まった名前の中から「アルバ」に決めました。この名前はラテン語で「白」という意味です。,http://www3.nhk.or.jp/news/html/20170516/k10010984091000.html
12,k10010984211000,2017-05-18,気象庁　大雨などに気をつける時間をわかりやすく伝える,気象庁は、大雨や洪水の警報などを発表するとき、気をつけなければならない時間を「今夜遅くまで」などと文で伝えていました。気象庁は１７日から、気をつけなければならない時間を色を使って、ウェブサイトで伝えています。今までよりわかりやすくするために、２４時間を３時間ずつに分けています。注意報が出て注意が必要な時間は「黄色」にします。警報が出て危険に気をつけなければならない時間は「赤」にします。雨などがもっとひどくなりそうな場合には特別警報が出て、最も気をつけなければならない時間は「紫」にします。気象庁は「危険な時間などが見てすぐわかるので、安全を考えて早く行動するようにしてください」と言っています。,http://www3.nhk.or.jp/news/html/20170517/k10010984211000.html
13,k10010983991000,2017-05-17,天皇陛下の孫の眞子さまが結婚の予定,天皇陛下の孫の眞子さまが、大学のときの友達と結婚する予定だとわかりました。眞子さまは、天皇陛下の２番目の息子の秋篠宮さまの長女で、２５歳です。結婚する予定の男性は横浜市に住んでいる小室圭さんです。今、法律事務所で働いています。眞子さまは大学を卒業したあと、イギリスに留学して博物館について勉強しました。去年から東京大学の博物館で研究員の仕事をしています。眞子さまと小室さんは５年ぐらい前に初めて会って、交際を続けていました。２人の結婚は来年になりそうです。,https://www3.nhk.or.jp/news/html/20170516/k10010983991000.html
14,k10010984271000,2017-05-17,マカオ　カジノのゲームの機械を紹介するイベント,カジノは、お金を賭けてルーレットなどのゲームで遊ぶ場所です。カジノにあるゲームの新しい機械を紹介するイベントが、中国のマカオで始まりました。イベントには世界の１８０の会社が集まっています。日本では今、カジノは禁止になっています。しかし、去年、新しい法律ができたため、日本でもこれからカジノを作ることができるかもしれません。このため、いろいろな国の会社が、日本でカジノで使う機械などを売りたいと考えています。しかし、日本ではカジノに反対する人も大勢います。お金を賭けるゲームをやめることができない病気になる人が増える心配があるからです。マカオにあるカジノの会社は「できるだけ病気にならないようにする方法があるので、日本でもカジノを作りたいです」と言っています。,http://www3.nhk.or.jp/news/html/20170517/k10010984271000.html
15,k10010983851000,2017-05-17,家庭の貯金や株が４年続けて増える,総務省によると、去年１年の２人以上の家庭の貯金や株などは、平均で１８２０万円でした。おととしより１５万円増えました。４年続けて増えていて、今まででいちばん多くなりました。家庭の代表の「世帯主」が４０歳より若い家庭では、おととしより少なくなって５７４万円でした。しかし、４０代の家庭は１０６５万円、５０代の家庭は１８０２万円で増えました。総務省は「５０代の家庭で貯金などが増え続けています。年をとってから心配しなくてもいいように準備しているようです」と話しています。家庭の借金は平均で５０７万円で、前の年より８万円増えました。この中の９０％ぐらいは、家を買うために借りたお金です。,http://www3.nhk.or.jp/news/html/20170516/k10010983851000.html?utm_int=nsearch_contents_search-items_001
16,k10010981571000,2017-05-17,イギリスの１０１歳３８日の男性がスカイダイビング,１４日、イギリスの男性のベルダン・ヘイズさんが１０１歳３８日でスカイダイビングをしました。ヘイズさんは小さい飛行機に乗って、４６００ｍの高さまで行きました。そして、スカイダイビングの先生と一緒に空に出たあと、パラシュートを開いて、ゆっくり下まで降りました。ヘイズさんは、スカイダイビングをした人の中で、世界でいちばん年が上の人になりました。今まではカナダの男性で、１０１歳３日でした。ヘイズさんは、１００歳の誕生日に初めてスカイダイビングをしました。「１０２歳や１０３歳でもやってみたいです」と話していました。,http://www3.nhk.or.jp/news/html/20170515/k10010981571000.html
17,k10010981801000,2017-05-17,郵便局　６２円のはがきと切手を売り始める,６月１日からはがきを送るときの料金が１０円上がって、６２円になります。５月１５日から、郵便局などで新しい６２円のはがきと切手を売り始めました。日本郵便は、はがきなどを送る人が少なくなっていて、働く人の給料も上がっているため、料金を上げると言っています。封筒や本などを送るときの料金も、重さや大きさで８０円から１５０円高くなる場合があります。正月のあいさつに送る年賀状のはがきは、５２円のままです。,http://www3.nhk.or.jp/news/html/20170515/k10010981801000.html
18,k10010982311000,2017-05-16,地球にぶつかる危険がある小惑星について話し合う,小惑星は太陽の周りを回っているとても小さな星です。国際天文学連合によると、地球にぶつかる危険がある小惑星は、今までに１万６０００個以上見つかっています。２０１３年にはロシアに２０ｍぐらいの大きさの小惑星が落ちて、約１５００人がけがをしました。東京で１５日、地球にぶつかる危険がある小惑星について話し合う会議が始まりました。２４の国から宇宙の研究をしている人など約２００人が出席しました。会議では、ＪＡＸＡの吉川真さんが「今はアメリカなどが地球にぶつかる危険がある小惑星を調べていますが、十分ではありません。日本やアジアの国もしっかり調べる必要があります」と話しました。この会議は１９日までです。,http://www3.nhk.or.jp/news/html/20170515/k10010982311000.html
19,k10010982951000,2017-05-16,痴漢をしたと言われた男性が電車にぶつかって亡くなる,１５日の夜、横浜市にある青葉台駅で、男性が線路に降りて、電車にぶつかって亡くなりました。警察によると、この男性は別の電車に乗っていたとき、女性の体を触って痴漢をしたと言われて電車から降ろされました。そのあと男性は線路に飛び降りました。警察は、男性が逃げようとして、駅に入ってきた電車とぶつかったと考えています。東京では最近、痴漢をしたと言われた人が線路に降りて逃げる事件が増えています。電車の会社は「危険なので、決して線路に降りないでください」と言っています。,http://www3.nhk.or.jp/news/html/20170515/k10010982951000.html
20,k10010981871000,2017-05-16,京都で「葵祭」　平安時代の着物を着た人たちが町を歩く,京都で有名なお祭りの１つの「葵祭」が１５日にありました。このお祭りは１４００年ぐらい前、天皇が米などがたくさん取れるように祈ったことから始まったと言われています。お祭りでは、平安時代の着物を着て、葵の葉の飾りを付けた５００人ぐらいが列になって、昔天皇が住んでいた京都御所を出発しました。そして、下鴨神社と上賀茂神社までの道をゆっくり歩きました。今年は道に５万人ぐらいが来て、お祭りを楽しんでいました。滋賀県から来た女性は「初めて見て、とても感動しました」と話していました。,http://www3.nhk.or.jp/news/html/20170515/k10010981871000.html
